t,scale_R_gps,scale_Q,scale_gate
39.564910,1.499996,1.000000,0.999999
39.664953,1.499997,1.000000,0.999999
39.774879,1.499997,1.000000,1.000000
39.874932,1.499998,1.000000,1.000000
39.984842,1.499998,1.000000,1.000000
40.084831,1.499998,1.000000,1.000000
40.184826,1.499999,1.000000,1.000000
40.294998,1.499999,1.000000,1.000000
40.394970,1.499999,1.000000,1.000000
40.494956,1.499999,1.000000,1.000000
40.604773,1.499999,1.000000,1.000000
40.704815,1.499999,1.000000,1.000000
40.814834,1.499999,1.000000,1.000000
40.914756,1.500000,1.000000,1.000000
41.014725,1.500000,1.000000,1.000000
41.124725,1.500000,1.000000,1.000000
41.224768,1.500000,1.000000,1.000000
41.324901,1.500000,1.000000,1.000000
41.434688,1.500000,1.000000,1.000000
41.534665,1.500000,1.000000,1.000000
41.644662,1.500000,1.000000,1.000000
41.744634,1.500000,1.000000,1.000000
41.844675,1.500000,1.000000,1.000000
41.954639,1.500000,1.000000,1.000000
42.054643,1.500000,1.000000,1.000000
42.154596,1.500000,1.000000,1.000000
42.264624,1.500000,1.000000,1.000000
42.364606,1.500000,1.000000,1.000000
42.474573,1.500000,1.000000,1.000000
42.574547,1.500000,1.000000,1.000000
42.674519,1.500000,1.000000,1.000000
42.784565,1.500000,1.000000,1.000000
42.884538,1.500000,1.000000,1.000000
42.984465,1.500000,1.000000,1.000000
43.094565,1.500000,1.000000,1.000000
43.194589,1.500000,1.000000,1.000000
43.304588,1.500000,1.000000,1.000000
43.404496,1.500000,1.000000,1.000000
43.504435,1.500000,1.000000,1.000000
43.614411,1.500000,1.000000,1.000000
43.714338,1.500000,1.000000,1.000000
43.824398,1.500000,1.000000,1.000000
43.924389,1.500000,1.000000,1.000000
44.024313,1.500000,1.000000,1.000000
44.134312,1.500000,1.000000,1.000000
44.234262,1.500000,1.000000,1.000000
44.344506,1.500000,1.000000,1.000000
44.444242,1.500000,1.000000,1.000000
44.544279,1.500000,1.000000,1.000000
44.654283,1.500000,1.000000,1.000000
44.754256,1.500000,1.000000,1.000000
44.864223,1.500000,1.000000,1.000000
44.964186,1.500000,1.000000,1.000000
45.064295,1.500000,1.000000,1.000000
45.174162,1.500000,1.000000,1.000000
45.274169,1.500000,1.000000,1.000000
45.384168,1.500000,1.000000,1.000000
45.484156,1.500000,1.000000,1.000000
45.584095,1.500000,1.000000,1.000000
45.694122,1.500000,1.000000,1.000000
45.794162,1.500000,1.000000,1.000000
45.894361,1.500000,1.000000,1.000000
46.004079,1.500000,1.000000,1.000000
46.104036,1.500000,1.000000,1.000000
46.214023,1.500000,1.000000,1.000000
46.314098,1.500000,1.000000,1.000000
46.414085,1.500000,1.000000,1.000000
46.524019,1.500000,1.000000,1.000000
46.624008,1.500000,1.000000,1.000000
46.733944,1.500000,1.000000,1.000000
46.833987,1.500000,1.000000,1.000000
46.933921,1.500000,1.000000,1.000000
47.043908,1.500000,1.000000,1.000000
47.143879,1.500000,1.000000,1.000000
47.243977,1.500000,1.000000,1.000000
47.353941,1.500000,1.000000,1.000000
47.453862,1.500000,1.000000,1.000000
47.563860,1.500000,1.000000,1.000000
47.663824,1.500000,1.000000,1.000000
47.763847,1.500000,1.000000,1.000000
47.873837,1.500000,1.000000,1.000000
47.973793,1.500000,1.000000,1.000000
48.083784,1.500000,1.000000,1.000000
48.183821,1.500000,1.000000,1.000000
48.283780,1.500000,1.000000,1.000000
48.393867,1.500000,1.000000,1.000000
48.493751,1.500000,1.000000,1.000000
48.593819,1.500000,1.000000,1.000000
48.703765,1.500000,1.000000,1.000000
48.803833,1.500000,1.000000,1.000000
48.913703,1.500000,1.000000,1.000000
49.013681,1.500000,1.000000,1.000000
49.113672,1.500000,1.000000,1.000000
49.223686,1.500000,1.000000,1.000000
49.323827,1.500000,1.000000,1.000000
49.433659,1.500000,1.000000,1.000000
49.533649,1.500000,1.000000,1.000000
49.633623,1.500000,1.000000,1.000000
49.743665,1.500000,1.000000,1.000000
49.843615,1.500000,1.000000,1.000000
49.953585,1.500000,1.000000,1.000000
50.053521,1.500000,1.000000,1.000000
50.153567,1.500000,1.000000,1.000000
50.263549,1.500000,1.000000,1.000000
50.363586,1.500000,1.000000,1.000000
50.463579,1.500000,1.000000,1.000000
50.573516,1.500000,1.000000,1.000000
50.673512,1.500000,1.000000,1.000000
50.783498,1.500000,1.000000,1.000000
50.883609,1.500000,1.000000,1.000000
50.983441,1.500000,1.000000,1.000000
51.093487,1.500000,1.000000,1.000000
51.193452,1.500000,1.000000,1.000000
51.293625,1.500000,1.000000,1.000000
51.403469,1.500000,1.000000,1.000000
51.503406,1.500000,1.000000,1.000000
51.613381,1.500000,1.000000,1.000000
51.713353,1.500000,1.000000,1.000000
51.813492,1.500000,1.000000,1.000000
51.923345,1.500000,1.000000,1.000000
52.023378,1.500000,1.000000,1.000000
52.133285,1.500000,1.000000,1.000000
52.233293,1.500000,1.000000,1.000000
52.333464,1.500000,1.000000,1.000000
52.443267,1.500000,1.000000,1.000000
52.543198,1.500000,1.000000,1.000000
52.643258,1.500000,1.000000,1.000000
52.753202,1.500000,1.000000,1.000000
52.853245,1.500000,1.000000,1.000000
